e1,ev,p,q,e,u,tid
12.93851854,-5.756981092,243.2602608,387.2311834,0.838056331,0,CID-D113
13.18722438,-5.82006554,242.6892492,387.4391269,0.839152739,0,CID-D113
13.43150823,-5.886486088,241.9109582,384.2841356,0.840307128,0,CID-D113
13.6768601,-5.949931942,240.8664794,381.9973677,0.841409817,0,CID-D113
13.94108663,-6.013203263,240.8943913,381.324989,0.842509473,0,CID-D113
14.18943647,-6.076522183,240.0601818,379.4389053,0.843609956,0,CID-D113
14.42111014,-6.140700251,239.7051679,377.1534163,0.84472537,0,CID-D113
14.68619859,-6.203278731,239.0613131,374.5256874,0.845812984,0,CID-D113
14.93541034,-6.262839029,237.8021329,371.1891069,0.846848142,0,CID-D113
15.17826391,-6.324037113,237.4655101,371.9627994,0.847911765,0,CID-D113
15.42829385,-6.381056992,237.0892613,371.0741741,0.848902771,0,CID-D113
15.66614458,-6.438262568,237.4253977,369.8685907,0.849897003,0,CID-D113
15.91446943,-6.497682418,236.9966019,367.3229789,0.85092972,0,CID-D113
16.17151959,-6.555941654,235.515015,365.750513,0.851942266,0,CID-D113
16.41744607,-6.611041673,235.3578138,364.3561148,0.852899904,0,CID-D113
16.67028036,-6.661717848,235.4723905,362.9538604,0.853780656,0,CID-D113
16.90749401,-6.718305215,234.8532011,362.6919641,0.854764145,0,CID-D113
17.1642881,-6.771470096,234.3290358,360.5831092,0.85568815,0,CID-D113
17.41569211,-6.822964282,233.9953665,360.5563279,0.856583119,0,CID-D113
17.66177474,-6.875545037,233.4892854,358.9275906,0.857496973,0,CID-D113
17.92414628,-6.928836263,233.1110641,357.3634276,0.858423174,0,CID-D113
18.16618166,-6.980959237,232.7033762,356.4086575,0.859329072,0,CID-D113
18.42428736,-7.029258359,232.3497755,355.8922208,0.86016851,0,CID-D113
18.67923271,-7.078002921,232.1335962,353.8561497,0.861015691,0,CID-D113
18.91430407,-7.126308507,232.6276577,352.5752275,0.861855242,0,CID-D113
19.17227861,-7.173933592,231.4157666,351.0814966,0.862682966,0,CID-D113
19.4184112,-7.225373714,230.4243327,347.1598415,0.863576995,0,CID-D113
19.66658615,-7.268469178,230.4888423,347.8568306,0.864325994,0,CID-D113
19.92414222,-7.313024368,229.4775085,345.6994199,0.865100364,0,CID-D113
20.15511013,-7.360306265,228.4988665,342.6847696,0.865922123,0,CID-D113
20.4167072,-7.401865605,227.0833468,339.8770743,0.866644424,0,CID-D113
20.66688079,-7.441987549,227.3945965,339.878887,0.867341744,0,CID-D113
20.91491209,-7.47953969,227.8055914,338.8452329,0.8679944,0,CID-D113
21.17683395,-7.513249175,226.8794658,335.9744122,0.868580271,0,CID-D113
21.41512812,-7.549445015,225.5136088,333.1839112,0.869209354,0,CID-D113
21.67042323,-7.578973943,225.0073447,332.2292972,0.869722567,0,CID-D113
21.6831146,-7.580268541,225.1244977,332.5923553,0.869745067,0,CID-D113
0,0,409.6316904,0,0.704,0,CID-D400
0.031501975,0.004670063,416.6742189,20.30904747,0.703920422,0,CID-D400
0.056706046,0.015219868,428.1137635,52.70696989,0.703740653,0,CID-D400
0.077786268,0.026728694,438.0102514,83.02085093,0.703544543,0,CID-D400
0.097271768,0.039270982,448.011286,112.7593653,0.703330822,0,CID-D400
0.123067631,0.052151747,457.7895449,140.8027325,0.703111334,0,CID-D400
0.143400327,0.064942369,466.9613299,169.5900448,0.702893382,0,CID-D400
0.159814743,0.07809066,476.437679,196.7390188,0.702669335,0,CID-D400
0.178203873,0.090842897,486.4810103,226.283149,0.702452037,0,CID-D400
0.199514582,0.103764954,495.2826158,254.8140716,0.702231845,0,CID-D400
0.224077027,0.116228148,503.808245,278.0265987,0.702019472,0,CID-D400
0.250365011,0.128389503,512.0762528,301.9798725,0.701812243,0,CID-D400
0.280396852,0.139151584,519.9868435,330.1827363,0.701628857,0,CID-D400
0.297932556,0.150381834,529.1671008,356.4273573,0.701437494,0,CID-D400
0.322202221,0.161902873,536.9597072,380.7389004,0.701241175,0,CID-D400
0.348695774,0.17336052,547.0578443,407.2670252,0.701045937,0,CID-D400
0.444372821,0.212263945,576.8345483,498.6010119,0.700383022,0,CID-D400
0.532929686,0.246493236,606.2517836,586.8587653,0.699799755,0,CID-D400
0.623536018,0.276392106,633.9342809,668.8545189,0.699290279,0,CID-D400
0.711538469,0.302555507,657.5767249,741.3976879,0.698844454,0,CID-D400
0.812118038,0.324274497,682.7543313,815.3812294,0.698474363,0,CID-D400
0.901889633,0.343260075,706.0385031,883.1941644,0.698150848,0,CID-D400
0.99706833,0.357217921,724.5591427,940.5759448,0.697913007,0,CID-D400
1.091960475,0.368444101,744.4461468,1000.695233,0.697721713,0,CID-D400
1.199971694,0.374988586,761.4072323,1051.361097,0.697610194,0,CID-D400
1.290303933,0.379218976,777.4178159,1099.658488,0.697538109,0,CID-D400
1.392758546,0.379808695,790.2112133,1137.373358,0.69752806,0,CID-D400
